"Id","Year","Name","Series Name","Link","Related/Other Colours"
"13609","1995","Speed Blaster","1995 Model Series","https://hotwheels.fandom.com/wiki/Speed_Blaster","16949,19947,21307,26046,55053,C1371,B3802,G6797"
"13610","1995","Mercedes-Benz SL","1995 Model Series","https://hotwheels.fandom.com/wiki/Mercedes-Benz_SL","16301,16677,19984,23820,27101,57098"
"14908/2015","1995","'58 Corvette Coupe","1995 Model Series","https://hotwheels.fandom.com/wiki/%2758_Corvette_Coupe","2015,54339,57130"
"13341","1995","Speed-A-Saurus","1995 Model Series","https://hotwheels.fandom.com/wiki/Speed-A-Saurus","19983,27071"
"13343","1995","Power Pistons","1995 Model Series","https://hotwheels.fandom.com/wiki/Power_Pistons","15246,16903,18772,50021,54362,G6787,R7464,CFL11,GHD83"
"13342","1995","Hydroplane","1995 Model Series","https://hotwheels.fandom.com/wiki/Hydroplane","15224,16922,18783,19542,24067,25426,G6801"
"13344","1995","Dodge Ram 1500","1995 Model Series","https://hotwheels.fandom.com/wiki/Dodge_Ram_1500_(1995)","15218,15084,19966,22415,24073,26027,54460,57134,J8008,K6137,M6880,P2407,R7533,BFD59,BFF68,DHR50,DXY65,DTX71,FBH90"
"13340","1995","Camaro Convertible","1995 Model Series","https://hotwheels.fandom.com/wiki/Camaro_Convertible","18809,19965,19527,27107,25388,55062,57200,B3834"
"13346","1995","Power Pipes","1995 Model Series","https://hotwheels.fandom.com/wiki/Power_Pipes","16904,19571,24114,50636,B3771,G6767,CFK11"
"13338","1995","Ferrari 355","1995 Model Series","https://hotwheels.fandom.com/wiki/Ferrari_355","15081,13338"
"13348","1995","Power Rocket","1995 Model Series","https://hotwheels.fandom.com/wiki/Power_Rocket","16902,24105,53736,FJX06,FJY77,GHD58,GHF31"
"13347","1995","Big Chill","1995 Model Series","https://hotwheels.fandom.com/wiki/Big_Chill","15243,19948,57129,G6802"
"13349","1995","Olds 442","1995 Treasure Hunts","https://hotwheels.fandom.com/wiki/Olds_442_W-30","12360,16946,19584,26011,29299,50008,55039,57211,J3431,P2402,R7593,T9816,V0028,T9892,V5449,X1686,X1880,DHR62,DHX52,FYC24"
"13350","1995","Gold Passion","1995 Treasure Hunts","https://hotwheels.fandom.com/wiki/Purple_Passion","13272,13279,25422,50118,54365,B3847,G6736,L3106,R7491,X1835,X1986,X2054,HTF22"
"13351","1995","'67 Camaro","1995 Treasure Hunts","https://hotwheels.fandom.com/wiki/%2767_Camaro","15242,13872,18791,21106,23821,55024,57157,G6737,J3415,K7559,P2469,R7511,X1811,X2014,DTY99,DVC96,FBP05,FYF94,GHD59,GHG56,GRY12,GTD32,GTC53,HTB74"
"13352","1995","'57 T-Bird","1995 Treasure Hunts","https://hotwheels.fandom.com/wiki/%2757_T-Bird","15223,95538,18767,26378,29272,50090,55050,B3845,M6964"
"13353","1995","VW Bug","1995 Treasure Hunts","https://hotwheels.fandom.com/wiki/VW_Bug","13280,15240,16917,18797,21310,J0413,J8028,M6903,FJX62,FJY49,GRY79,GTD22,GTC73,HCV26,HCY59,HCW88,HTB35,HTF09"
"13354","1995","Split Window '63","1995 Treasure Hunts","https://hotwheels.fandom.com/wiki/Split_Window_%2763","13269,54340,M6911"
"13355","1995","Stutz Blackhawk","1995 Treasure Hunts","https://hotwheels.fandom.com/wiki/Stutz_Blackhawk","18769,21344"
"13356","1995","Rolls Royce Phantom II","1995 Treasure Hunts","https://hotwheels.fandom.com/wiki/Rolls_Royce_Phantom_II",""
